m_phi,θ_squared,N_phi
0.028873,2.01741e-07,5.45479e-06
0.0290561,0.000738473,0.0199662
0.0290561,0.000711677,0.0192417
0.0290561,0.000685853,0.0185435
0.0290561,0.000660966,0.0178706
0.0290561,0.000636982,0.0172221
0.0290561,0.000613868,0.0165972
0.0290561,0.000591593,0.0159949
0.0290561,0.000570126,0.0154145
0.0290561,0.000549438,0.0148552
0.0290561,0.000529501,0.0143162
0.0290561,0.000510288,0.0137967
0.0290561,0.000491771,0.0132961
0.0290561,0.000473927,0.0128136
0.0290561,0.00045673,0.0123486
0.0290561,0.000440156,0.0119005
0.0290561,0.000424185,0.0114687
0.0290561,0.000408793,0.0110526
0.0290561,0.000393959,0.0106515
0.0290561,0.000379664,0.010265
0.0290561,0.000365887,0.00989252
0.0290561,0.00035261,0.00953355
0.0290561,0.000339815,0.00918762
0.0290561,0.000327485,0.00885423
0.0290561,0.000315602,0.00853294
0.0290561,0.00030415,0.00822331
0.0290561,0.000293113,0.00792492
0.0290561,0.000282477,0.00763735
0.0290561,0.000272227,0.00736022
0.0290561,0.000262349,0.00709315
0.0290561,0.000252829,0.00683576
0.0290561,0.000243655,0.00658772
0.0290561,0.000234814,0.00634867
0.0290561,0.000226293,0.0061183
0.0290561,0.000218082,0.00589629
0.0290561,0.000210168,0.00568234
0.0290561,0.000202542,0.00547615
0.0290561,0.000195193,0.00527744
0.0290561,0.00018811,0.00508594
0.0290561,0.000181284,0.00490139
0.0290561,0.000174706,0.00472353
0.0290561,0.000168366,0.00455213
0.0290561,0.000162257,0.00438695
0.0290561,0.000156369,0.00422777
0.0290561,0.000150695,0.00407436
0.0290561,0.000145227,0.00392651
0.0290561,0.000139957,0.00378404
0.0290561,0.000134879,0.00364673
0.0290561,0.000129984,0.0035144
0.0290561,0.000125268,0.00338688
0.0290561,0.000120722,0.00326398
0.0290561,0.000116342,0.00314554
0.0290561,0.00011212,0.0030314
0.0290561,0.000108052,0.0029214
0.0290561,0.000104131,0.00281539
0.0290561,0.000100352,0.00271323
0.0290561,9.67109e-05,0.00261478
0.0290561,9.32017e-05,0.0025199
0.0290561,8.98197e-05,0.00242846
0.0290561,8.65605e-05,0.00234034
0.0290561,8.34195e-05,0.00225542
0.0290561,8.03925e-05,0.00217358
0.0290561,7.74754e-05,0.00209471
0.0290561,7.46641e-05,0.0020187
0.0290561,7.19548e-05,0.00194545
0.0290561,6.93438e-05,0.00187485
0.0290561,6.68276e-05,0.00180682
0.0290561,6.44027e-05,0.00174126
0.0290561,6.20657e-05,0.00167808
0.0290561,5.98136e-05,0.00161718
0.0290561,5.76432e-05,0.0015585
0.0290561,5.55515e-05,0.00150195
0.0290561,5.35357e-05,0.00144745
0.0290561,5.15931e-05,0.00139493
0.0290561,4.9721e-05,0.00134431
0.0290561,4.79168e-05,0.00129553
0.0290561,4.61781e-05,0.00124852
0.0290561,4.45024e-05,0.00120322
0.0290561,4.28876e-05,0.00115956
0.0290561,4.13314e-05,0.00111748
0.0290561,3.98316e-05,0.00107693
0.0290561,3.83863e-05,0.00103785
0.0290561,3.69934e-05,0.00100019
0.0290561,3.5651e-05,0.000963899
0.0290561,3.43574e-05,0.000928923
0.0290561,3.31107e-05,0.000895216
0.0290561,3.19092e-05,0.000862732
0.0290561,3.07513e-05,0.000831426
0.0290561,2.96355e-05,0.000801257
0.0290561,2.85601e-05,0.000772182
0.0290561,2.75238e-05,0.000744162
0.0290561,2.6525e-05,0.000717159
0.0290561,2.55625e-05,0.000691136
0.0290561,2.4635e-05,0.000666058
0.0290561,2.37411e-05,0.000641889
0.0290561,2.28796e-05,0.000618597
0.0290561,2.20494e-05,0.00059615
0.0290561,2.12493e-05,0.000574518
0.0290561,2.04782e-05,0.000553671
0.0290561,1.97351e-05,0.00053358
0.0290561,1.9019e-05,0.000514219
0.0290561,1.83289e-05,0.00049556
0.0290561,1.76638e-05,0.000477578
0.0290561,1.70228e-05,0.000460248
0.0290561,1.64052e-05,0.000443547
0.0290561,1.58099e-05,0.000427453
0.0290561,1.52362e-05,0.000411942
0.0290561,1.46833e-05,0.000396994
0.0290561,1.41505e-05,0.000382589
0.0290561,1.3637e-05,0.000368706
0.0290561,1.31422e-05,0.000355327
0.0290561,1.26653e-05,0.000342433
0.0290561,1.22057e-05,0.000330008
0.0290561,1.17628e-05,0.000318033
0.0290561,1.1336e-05,0.000306493
0.0290561,1.09247e-05,0.000295371
0.0290561,1.05283e-05,0.000284653
0.0290561,1.01462e-05,0.000274324
0.0290561,9.77805e-06,0.00026437
0.0290561,9.42324e-06,0.000254777
0.0290561,9.08131e-06,0.000245532
0.0290561,8.75178e-06,0.000236623
0.0290561,8.43421e-06,0.000228036
0.0290561,8.12816e-06,0.000219762
0.0290561,7.83322e-06,0.000211787
0.0290561,7.54898e-06,0.000204102
0.0290561,7.27506e-06,0.000196696
0.0290561,7.01107e-06,0.000189559
0.0290561,6.75667e-06,0.000182681
0.0290561,6.51149e-06,0.000176052
0.0290561,6.27521e-06,0.000169663
0.0290561,6.04751e-06,0.000163507
0.0290561,5.82807e-06,0.000157574
0.0290561,5.61659e-06,0.000151856
0.0290561,5.41278e-06,0.000146346
0.0290561,5.21637e-06,0.000141035
0.0290561,5.02709e-06,0.000135918
0.0290561,4.84468e-06,0.000130986
0.0290561,4.66888e-06,0.000126233
0.0290561,4.49946e-06,0.000121652
0.0290561,4.33619e-06,0.000117238
0.0290561,4.17885e-06,0.000112984
0.0290561,4.02721e-06,0.000108884
0.0290561,3.88108e-06,0.000104933
0.0290561,3.74025e-06,0.000101125
0.0290561,3.60453e-06,9.7456e-05
0.0290561,3.47374e-06,9.39196e-05
0.0290561,3.34769e-06,9.05116e-05
0.0290561,3.22621e-06,8.72273e-05
