m_phi_low,m_phi_high,m_H5,sin_theta_H,N_phi_GM
0.0297890532,0.0445593107,0.0340854502,0.0253535696,0.0000504683
0.0297890532,0.0445593107,0.0404895404,0.0171445107,0.0000229042
0.0297890532,0.0445593107,0.0312573538,0.1030523843,0.0008377099
0.0297890532,0.0445593107,0.0306528053,0.0339863759,0.0000910158
0.0297890532,0.0445593107,0.0408670485,0.1131645542,0.0010013770
0.0297890532,0.0445593107,0.0414369661,0.0101187213,0.0000079453
0.0297890532,0.0445593107,0.0347784075,0.0991529040,0.0007732006
0.0297890532,0.0445593107,0.0329802796,0.0392287751,0.0001210699
0.0297890532,0.0445593107,0.0414487997,0.0080608892,0.0000050322
0.0297890532,0.0445593107,0.0339853894,0.0977509702,0.0007520031
0.0297890532,0.0445593107,0.0307604801,0.0636495533,0.0003195452
0.0297890532,0.0445593107,0.0329999664,0.0430645070,0.0001459272
0.0297890532,0.0445593107,0.0339856925,0.0518961199,0.0002118061
0.0297890532,0.0445593107,0.0356842506,0.2863049293,0.0064448310
0.0297890532,0.0445593107,0.0363104927,0.0991430773,0.0007719771
0.0297890532,0.0445593107,0.0426971595,0.0163176592,0.0000206951
0.0297890532,0.0445593107,0.0304034076,0.0206786125,0.0000336497
0.0297890532,0.0445593107,0.0323686367,0.3899032644,0.0119880636
0.0297890532,0.0445593107,0.0405154306,0.0386528208,0.0001167132
0.0297890532,0.0445593107,0.0358478303,0.1296742470,0.0013214546
0.0297890532,0.0445593107,0.0331644208,0.0681132798,0.0003652526
0.0297890532,0.0445593107,0.0428002173,0.0220191613,0.0000377263
0.0297890532,0.0445593107,0.0310834552,0.3876929215,0.0118648074
0.0297890532,0.0445593107,0.0433156384,0.0304437459,0.0000721471
0.0297890532,0.0445593107,0.0414196642,0.0625113109,0.0003052109
0.0297890532,0.0445593107,0.0364168811,0.0231272519,0.0000418942
0.0297890532,0.0445593107,0.0415734124,0.0945771366,0.0006988242
0.0297890532,0.0445593107,0.0376837479,0.0271924164,0.0000578768
0.0297890532,0.0445593107,0.0367670193,0.0118321462,0.0000109265
0.0297890532,0.0445593107,0.0365353570,0.2877400455,0.0065045201
0.0297890532,0.0445593107,0.0331338210,0.0106140022,0.0000088139
0.0297890532,0.0445593107,0.0342993606,0.0123744290,0.0000119809
0.0297890532,0.0445593107,0.0337074714,0.0802323538,0.0005066455
0.0297890532,0.0445593107,0.0346317113,0.1498416989,0.0017665219
0.0297890532,0.0445593107,0.0415008006,0.3123133720,0.0076253644
0.0297890532,0.0445593107,0.0342750113,0.1275652414,0.0012806028
0.0297890532,0.0445593107,0.0396502882,0.0080444555,0.0000050209
0.0297890532,0.0445593107,0.0372992359,0.0978601992,0.0007514240
0.0297890532,0.0445593107,0.0410354150,0.0087203421,0.0000058961
0.0297890532,0.0445593107,0.0409844024,0.1206632012,0.0011383919
0.0297890532,0.0445593107,0.0310824804,0.0421971939,0.0001403217
0.0297890532,0.0445593107,0.0308602264,0.0137416009,0.0000148258
0.0297890532,0.0445593107,0.0399260405,0.0288351543,0.0000649478
0.0297890532,0.0445593107,0.0424824344,0.0337705655,0.0000888801
0.0297890532,0.0445593107,0.0418433303,0.0561753180,0.0002463301
0.0297890532,0.0445593107,0.0445356437,0.0553436416,0.0002383773
0.0297890532,0.0445593107,0.0346140948,0.0325372264,0.0000831380
0.0297890532,0.0445593107,0.0417536142,0.0888237942,0.0006162373
0.0297890532,0.0445593107,0.0378958466,0.1036622040,0.0008427235
0.0297890532,0.0445593107,0.0336883905,0.1402689305,0.0015492342
0.0297890532,0.0445593107,0.0387002524,0.0359156049,0.0001009372
0.0297890532,0.0445593107,0.0332230179,0.2957010260,0.0068897059
0.0297890532,0.0445593107,0.0363264649,0.0407462522,0.0001302434
0.0297890532,0.0445593107,0.0389802325,0.0241341358,0.0000455161
0.0297890532,0.0445593107,0.0348350479,0.0291047166,0.0000664901
0.0297890532,0.0445593107,0.0441711299,0.0171793745,0.0000229068
0.0297890532,0.0445593107,0.0363577793,0.2226739013,0.0038957361
0.0297890532,0.0445593107,0.0352533757,0.0348222430,0.0000951864
0.0297890532,0.0445593107,0.0380608164,0.0140536911,0.0000154120
0.0297890532,0.0445593107,0.0399424146,0.0381761717,0.0001139164
0.0297890532,0.0445593107,0.0299747912,0.0291206191,0.0000668290
0.0297890532,0.0445593107,0.0357371206,0.0245534167,0.0000472591
0.0297890532,0.0445593107,0.0318223552,0.3686995692,0.0107242842
0.0297890532,0.0445593107,0.0341975952,0.0103181923,0.0000083202
0.0297890532,0.0445593107,0.0337535274,0.0931311587,0.0006827110
0.0297890532,0.0445593107,0.0429884295,0.0120782362,0.0000113160
0.0297890532,0.0445593107,0.0372902646,0.0321065357,0.0000807515
0.0297890532,0.0445593107,0.0432592754,0.4145992886,0.0134134519
0.0297890532,0.0445593107,0.0306371739,0.0611957257,0.0002953955
0.0297890532,0.0445593107,0.0388609010,0.0240146241,0.0000450711
0.0297890532,0.0445593107,0.0392625609,0.0173659531,0.0000235303
0.0297890532,0.0445593107,0.0365148211,0.0109324214,0.0000093250
0.0297890532,0.0445593107,0.0436338685,0.0127345884,0.0000125745
0.0297890532,0.0445593107,0.0324526222,0.0141799985,0.0000157696
0.0297890532,0.0445593107,0.0369090880,0.0860846803,0.0005816171
0.0297890532,0.0445593107,0.0372432670,0.0125991755,0.0000123885
0.0297890532,0.0445593107,0.0391303487,0.1206717768,0.0011407113
0.0297890532,0.0445593107,0.0434354846,0.0089629229,0.0000062143
0.0297890532,0.0445593107,0.0320319847,0.1222295514,0.0011779085
0.0297890532,0.0445593107,0.0404688967,0.0183561078,0.0000262644
0.0297890532,0.0445593107,0.0322112414,0.2144514502,0.0036263842
0.0297890532,0.0445593107,0.0431463748,0.0191682086,0.0000285635
0.0297890532,0.0445593107,0.0322504067,0.0087812881,0.0000060279
0.0297890532,0.0445593107,0.0440317013,0.4557270148,0.0161930486
0.0297890532,0.0445593107,0.0405998141,0.0168954012,0.0000222394
0.0297890532,0.0445593107,0.0400105725,0.0104009979,0.0000084089
0.0297890532,0.0445593107,0.0316579377,0.0197827144,0.0000307615
0.0297890532,0.0445593107,0.0336783138,0.0147551600,0.0000170611
0.0297890532,0.0445593107,0.0438360586,0.0095431181,0.0000070455
0.0297890532,0.0445593107,0.0366136698,0.0073418622,0.0000041904
0.0297890532,0.0445593107,0.0305001897,0.1000529634,0.0007901061
0.0297890532,0.0445593107,0.0305021191,0.0629670717,0.0003127879
0.0297890532,0.0445593107,0.0362879816,0.0110425559,0.0000095165
0.0297890532,0.0445593107,0.0399130311,0.2665723349,0.0055642444
0.0297890532,0.0445593107,0.0324210284,0.0299448001,0.0000705342
0.0297890532,0.0445593107,0.0308024188,0.0318724652,0.0000800240
0.0297890532,0.0445593107,0.0411143585,0.0775074709,0.0004694769
0.0297890532,0.0445593107,0.0337007371,0.3612434811,0.0102787700
0.0297890532,0.0445593107,0.0323247213,0.0675515408,0.0003595003
0.0297890532,0.0445593107,0.0300317504,0.0130899273,0.0000134577
0.0297890532,0.0445593107,0.0344021241,0.1570004361,0.0019397836
0.0297890532,0.0445593107,0.0331206238,0.0193555067,0.0000294094
0.0297890532,0.0445593107,0.0421246600,0.0160567816,0.0000200495
0.0297890532,0.0445593107,0.0320507506,0.0115002514,0.0000103624
0.0297890532,0.0445593107,0.0410286043,0.0795402192,0.0004944823
0.0297890532,0.0445593107,0.0429738639,0.2864933446,0.0064063183
0.0297890532,0.0445593107,0.0389105039,0.0446692730,0.0001561702
