mphi,theta^2
2.887302019045490e-2, 2.017408160276269e-7
2.905610103454688e-2, 7.384734899560906e-4
2.905610103454688e-2, 7.116769866016489e-4
2.905610103454688e-2, 6.858528303954675e-4
2.905610103454688e-2, 6.609657384140907e-4
2.905610103454688e-2, 6.369817080223737e-4
2.905610103454688e-2, 6.138679704164990e-4
2.905610103454688e-2, 5.915929458527491e-4
2.905610103454688e-2, 5.701262005008615e-4
2.905610103454688e-2, 5.494384048630183e-4
2.905610103454688e-2, 5.295012937016597e-4
2.905610103454688e-2, 5.102876274213693e-4
2.905610103454688e-2, 4.917711548520698e-4
2.905610103454688e-2, 4.739265773826813e-4
2.905610103454688e-2, 4.567295143962376e-4
2.905610103454688e-2, 4.401564699592342e-4
2.905610103454688e-2, 4.241848007197018e-4
2.905610103454688e-2, 4.087926849701377e-4
2.905610103454688e-2, 3.939590928330322e-4
2.905610103454688e-2, 3.796637575282526e-4
2.905610103454688e-2, 3.658871476830289e-4
2.905610103454688e-2, 3.526104406467095e-4
2.905610103454688e-2, 3.398154967738258e-4
2.905610103454688e-2, 3.274848346403313e-4
2.905610103454688e-2, 3.156016071591522e-4
2.905610103454688e-2, 3.041495785624178e-4
2.905610103454688e-2, 2.931131022189211e-4
2.905610103454688e-2, 2.824770992565031e-4
2.905610103454688e-2, 2.722270379601525e-4
2.905610103454688e-2, 2.623489139176731e-4
2.905610103454688e-2, 2.528292308857919e-4
2.905610103454688e-2, 2.436549823505671e-4
2.905610103454688e-2, 2.348136337569004e-4
2.905610103454688e-2, 2.262931053828764e-4
2.905610103454688e-2, 2.180817558355286e-4
2.905610103454688e-2, 2.101683661454847e-4
2.905610103454688e-2, 2.025421244387582e-4
2.905610103454688e-2, 1.951926111647453e-4
2.905610103454688e-2, 1.881097848602433e-4
2.905610103454688e-2, 1.812839684300414e-4
2.905610103454688e-2, 1.747058359253378e-4
2.905610103454688e-2, 1.683663998019203e-4
2.905610103454688e-2, 1.622569986407009e-4
2.905610103454688e-2, 1.563692853138275e-4
2.905610103454688e-2, 1.506952155802034e-4
2.905610103454688e-2, 1.452270370948344e-4
2.905610103454688e-2, 1.399572788169865e-4
2.905610103454688e-2, 1.348787408026823e-4
2.905610103454688e-2, 1.299844843675909e-4
2.905610103454688e-2, 1.252678226068707e-4
2.905610103454688e-2, 1.207223112590115e-4
2.905610103454688e-2, 1.163417399011955e-4
2.905610103454688e-2, 1.121201234641459e-4
2.905610103454688e-2, 1.080516940548709e-4
2.905610103454688e-2, 1.041308930761295e-4
2.905610103454688e-2, 1.003523636318546e-4
2.905610103454688e-2, 9.671094320815467e-5
2.905610103454688e-2, 9.320165661989457e-5
2.905610103454688e-2, 8.981970921322053e-5
2.905610103454688e-2, 8.656048031473949e-5
2.905610103454688e-2, 8.341951691840428e-5
2.905610103454688e-2, 8.039252760147858e-5
2.905610103454688e-2, 7.747537666126924e-5
2.905610103454688e-2, 7.466407846461526e-5
2.905610103454688e-2, 7.195479200241291e-5
2.905610103454688e-2, 6.934381564173750e-5
2.905610103454688e-2, 6.682758206839137e-5
2.905610103454688e-2, 6.440265341296821e-5
2.905610103454688e-2, 6.206571655377483e-5
2.905610103454688e-2, 5.981357859019277e-5
2.905610103454688e-2, 5.764316248029482e-5
2.905610103454688e-2, 5.555150283675677e-5
2.905610103454688e-2, 5.353574187532004e-5
2.905610103454688e-2, 5.159312551026970e-5
2.905610103454688e-2, 4.972099959159349e-5
2.905610103454688e-2, 4.791680627868046e-5
2.905610103454688e-2, 4.617808054560486e-5
2.905610103454688e-2, 4.450244681322057e-5
2.905610103454688e-2, 4.288761570346437e-5
2.905610103454688e-2, 4.133138091143383e-5
2.905610103454688e-2, 3.983161619096593e-5
2.905610103454688e-2, 3.838627244959816e-5
2.905610103454688e-2, 3.699337494894268e-5
2.905610103454688e-2, 3.565102060664881e-5
2.905610103454688e-2, 3.435737539626741e-5
2.905610103454688e-2, 3.311067184146460e-5
2.905610103454688e-2, 3.190920660116142e-5
2.905610103454688e-2, 3.075133814229984e-5
2.905610103454688e-2, 2.963548449705564e-5
2.905610103454688e-2, 2.856012110143384e-5
2.905610103454688e-2, 2.752377871229360e-5
2.905610103454688e-2, 2.652504139995657e-5
2.905610103454688e-2, 2.556254461365636e-5
2.905610103454688e-2, 2.463497331718553e-5
2.905610103454688e-2, 2.374106019219333e-5
2.905610103454688e-2, 2.287958390667909e-5
2.905610103454688e-2, 2.204936744631569e-5
2.905610103454688e-2, 2.124927650632318e-5
2.905610103454688e-2, 2.047821794169548e-5
2.905610103454688e-2, 1.973513827366263e-5
2.905610103454688e-2, 1.901902225034808e-5
2.905610103454688e-2, 1.832889145965449e-5
2.905610103454688e-2, 1.766380299248280e-5
2.905610103454688e-2, 1.702284815445820e-5
2.905610103454688e-2, 1.640515122440292e-5
2.905610103454688e-2, 1.580986825785936e-5
2.905610103454688e-2, 1.523618593402916e-5
2.905610103454688e-2, 1.468332044455250e-5
2.905610103454688e-2, 1.415051642260963e-5
2.905610103454688e-2, 1.363704591088132e-5
2.905610103454688e-2, 1.314220736695832e-5
2.905610103454688e-2, 1.266532470484082e-5
2.905610103454688e-2, 1.220574637121839e-5
2.905610103454688e-2, 1.176284445526841e-5
2.905610103454688e-2, 1.133601383075660e-5
2.905610103454688e-2, 1.092467132926757e-5
2.905610103454688e-2, 1.052825494343591e-5
2.905610103454688e-2, 1.014622305908895e-5
2.905610103454688e-2, 9.778053715252442e-6
2.905610103454688e-2, 9.423243891007766e-6
2.905610103454688e-2, 9.081308818226581e-6
2.905610103454688e-2, 8.751781319243781e-6
2.905610103454688e-2, 8.434211168563896e-6
2.905610103454688e-2, 8.128164477728836e-6
2.905610103454688e-2, 7.833223102506463e-6
2.905610103454688e-2, 7.548984071590288e-6
2.905610103454688e-2, 7.275059036029399e-6
2.905610103454688e-2, 7.011073738636646e-6
2.905610103454688e-2, 6.756667502650049e-6
2.905610103454688e-2, 6.511492738948816e-6
2.905610103454688e-2, 6.275214471150686e-6
2.905610103454688e-2, 6.047509877941756e-6
2.905610103454688e-2, 5.828067852013485e-6
2.905610103454688e-2, 5.616588575004259e-6
2.905610103454688e-2, 5.412783107864782e-6
2.905610103454688e-2, 5.216372996087597e-6
