m_phi(GeV),sin_theta^2,Q_phi,C_phiN,G_phi,xi,P_esc,V_SN,lambda_phi,energy loss rate
0.00142706,2.67272e-07,5.05937e-08,1.17676e-06,0.446417,0.997731,0.608526,4.18879e+18,2.02e+06,4.0633e+58
0.0220376,2.24911e-11,3.5309e-12,1.07948e-08,0.446417,0.827458,0.608526,4.18879e+18,2.02e+06,2.83575e+54
0.00174043,9.64122e-09,1.8237e-09,2.23499e-07,0.446417,0.996995,0.608526,4.18879e+18,2.02e+06,1.46466e+57
0.0655514,6.46932e-11,4.81116e-12,1.83079e-08,0.446417,0.391979,0.608526,4.18879e+18,2.02e+06,3.86396e+54
0.398273,1.67751e-07,1.55979e-12,9.3227e-07,0.446417,4.90086e-05,0.608526,4.18879e+18,2.02e+06,1.2527e+54
0.0120274,1.06158e-11,1.87135e-12,7.41628e-09,0.446417,0.929123,0.608526,4.18879e+18,2.02e+06,1.50293e+54
0.190725,1.29803e-09,4.67653e-12,8.20071e-08,0.446417,0.0189894,0.608526,4.18879e+18,2.02e+06,3.75583e+54
0.0747647,4.03105e-08,2.48074e-09,4.57003e-07,0.446417,0.324365,0.608526,4.18879e+18,2.02e+06,1.99234e+57
0.00244921,1.63708e-07,3.08988e-08,9.20967e-07,0.446417,0.994819,0.608526,4.18879e+18,2.02e+06,2.48156e+58
0.0025662,2.81007e-07,5.30159e-08,1.20661e-06,0.446417,0.994399,0.608526,4.18879e+18,2.02e+06,4.25784e+58
0.100375,4.13629e-09,1.44849e-10,1.46391e-07,0.446417,0.184576,0.608526,4.18879e+18,2.02e+06,1.16331e+56
0.256041,2.95402e-10,1.75249e-13,3.91216e-08,0.446417,0.00312689,0.608526,4.18879e+18,2.02e+06,1.40747e+53
0.0782648,2.25386e-10,1.28813e-11,3.41722e-08,0.446417,0.301235,0.608526,4.18879e+18,2.02e+06,1.03453e+55
0.00579764,1.42036e-08,2.63533e-09,2.71274e-07,0.446417,0.977933,0.608526,4.18879e+18,2.02e+06,2.1165e+57
0.0312059,4.3063e-12,5.93258e-13,4.72348e-09,0.446417,0.726124,0.608526,4.18879e+18,2.02e+06,4.7646e+53
0.00569085,5.6911e-07,1.05665e-07,1.71715e-06,0.446417,0.9786,0.608526,4.18879e+18,2.02e+06,8.48619e+58
0.00126459,3.56128e-11,6.74357e-12,1.35835e-08,0.446417,0.998055,0.608526,4.18879e+18,2.02e+06,5.41592e+54
0.00278182,5.06264e-08,9.54356e-09,5.12151e-07,0.446417,0.993584,0.608526,4.18879e+18,2.02e+06,7.66466e+57
0.00892136,9.17291e-08,1.66308e-08,6.89387e-07,0.446417,0.955602,0.608526,4.18879e+18,2.02e+06,1.33566e+58
0.198348,4.22064e-10,1.23827e-12,4.67626e-08,0.446417,0.0154635,0.608526,4.18879e+18,2.02e+06,9.94482e+53
0.0230103,3.86637e-10,5.99205e-11,4.4757e-08,0.446417,0.816852,0.608526,4.18879e+18,2.02e+06,4.81236e+55
0.00219755,2.03556e-12,3.84527e-13,3.24752e-09,0.446417,0.995667,0.608526,4.18879e+18,2.02e+06,3.08823e+53
0.00382533,1.37615e-10,2.58219e-11,2.67019e-08,0.446417,0.988991,0.608526,4.18879e+18,2.02e+06,2.07382e+55
0.0506814,8.37868e-08,8.29976e-09,6.58866e-07,0.446417,0.522109,0.608526,4.18879e+18,2.02e+06,6.66574e+57
