m_phi(GeV),sin_theta^2,Q_phi,C_phiN,G_phi,xi,P_esc,V_SN,F,lambda_phi,energy loss rate
0.0666268,4.9059e-12,3.57024e-13,5.04161e-09,0.446417,0.383575,0.962987,4.18879e+18,1.11065e+11,2.6521e+07,4.53756e+53
0.0982483,2.49452e-11,9.17096e-13,1.13685e-08,0.446417,0.193776,0.825476,4.18879e+18,4.9254e+10,5.21581e+06,9.99133e+53
0.00982559,1.64524e-10,2.95999e-11,2.91961e-08,0.446417,0.94827,0.282366,4.18879e+18,1.91787e+10,790823,1.10308e+55
0.00143885,8.01723e-12,1.51759e-12,6.44498e-09,0.446417,0.997706,0.940241,4.18879e+18,8.68806e+10,1.62287e+07,1.88321e+54
0.210148,2.56221e-10,5.45342e-13,3.64348e-08,0.446417,0.0112183,0.13929,4.18879e+18,1.53684e+10,507802,1.00252e+53
0.0295781,6.54743e-13,9.24445e-14,1.84181e-09,0.446417,0.744185,0.99498,4.18879e+18,3.04018e+11,1.98718e+08,1.21394e+53
0.113949,8.36415e-11,2.13277e-12,2.08171e-08,0.446417,0.134398,0.525643,4.18879e+18,2.68983e+10,1.55556e+06,1.47958e+54
0.0390258,3.14831e-12,3.82734e-13,4.03876e-09,0.446417,0.640754,0.97609,4.18879e+18,1.38643e+11,4.13268e+07,4.93049e+53
0.00140865,7.37461e-11,1.39604e-11,1.9547e-08,0.446417,0.99777,0.567337,4.18879e+18,2.86461e+10,1.76429e+06,1.0453e+55
0.0381654,4.92754e-12,6.07655e-13,5.05271e-09,0.446417,0.649977,0.962831,4.18879e+18,1.1082e+11,2.64045e+07,7.72166e+53
0.00103926,2.13838e-12,4.05076e-13,3.32853e-09,0.446417,0.998441,0.983699,4.18879e+18,1.68226e+11,6.08447e+07,5.25899e+53
0.100836,7.85704e-11,2.72243e-12,2.01762e-08,0.446417,0.182629,0.546562,4.18879e+18,2.77527e+10,1.65596e+06,1.96381e+54
0.0250449,9.00139e-10,1.35681e-10,6.82911e-08,0.446417,0.794478,0.000988875,4.18879e+18,8.19937e+09,144544,1.77079e+53
0.0414882,1.30777e-11,1.5251e-12,8.23142e-09,0.446417,0.614665,0.90436,4.18879e+18,6.80252e+10,9.94898e+06,1.8203e+54
0.00117621,1.26696e-10,2.39948e-11,2.56207e-08,0.446417,0.998215,0.377657,4.18879e+18,2.18551e+10,1.02694e+06,1.19596e+55
0.0390846,1.94195e-11,2.35848e-12,1.00306e-08,0.446417,0.640126,0.861331,4.18879e+18,5.58234e+10,6.69993e+06,2.68106e+54
0.0210848,5.82634e-10,9.26087e-11,5.49424e-08,0.446417,0.837775,0.011352,4.18879e+18,1.01915e+10,223312,1.38748e+54
0.00341458,3.4323e-12,6.45286e-13,4.21699e-09,0.446417,0.990918,0.973964,4.18879e+18,1.32783e+11,3.79073e+07,8.29467e+53
0.00187259,1.44629e-10,2.73478e-11,2.73739e-08,0.446417,0.996641,0.329033,4.18879e+18,2.04554e+10,899610,1.18758e+55
0.00229817,4.30336e-13,8.12656e-14,1.49318e-09,0.446417,0.995338,0.996698,4.18879e+18,3.75e+11,3.02344e+08,1.06899e+53
0.0508332,2.87344e-12,2.83844e-13,3.85843e-09,0.446417,0.520653,0.978153,4.18879e+18,1.45122e+11,4.528e+07,3.66429e+53
