m_phi(GeV),sin_theta^2,Q_phi,C_phiN,G_phi,xi,P_esc,V_SN,lambda_phi,energy loss rate
0.00229489,5.42129e-11,1.02378e-11,1.67595e-08,0.446417,0.995349,0.620395,4.18879e+18,2.09469e+06,8.3826e+54
0.0156044,5.14262e-10,8.73193e-11,5.16181e-08,0.446417,0.894946,0.0156751,4.18879e+18,240637,1.80645e+54
0.00955552,6.51545e-12,1.17496e-12,5.81007e-09,0.446417,0.950495,0.94631,4.18879e+18,1.8121e+07,1.46744e+54
0.00162925,5.4904e-11,1.03883e-11,1.6866e-08,0.446417,0.997272,0.616119,4.18879e+18,2.06477e+06,8.44724e+54
0.00357297,2.46164e-10,4.62458e-11,3.57126e-08,0.446417,0.990192,0.115578,4.18879e+18,463433,7.05425e+54
0.0146096,2.33883e-12,4.0148e-13,3.48103e-09,0.446417,0.904769,0.981124,4.18879e+18,5.24754e+07,5.19866e+53
0.00119418,1.83563e-12,3.47636e-13,3.08391e-09,0.446417,0.998184,0.983925,4.18879e+18,6.17074e+07,4.5143e+53
0.0189588,1.59695e-12,2.60706e-13,2.87644e-09,0.446417,0.860459,0.987542,4.18879e+18,7.97697e+07,3.39789e+53
0.0627846,1.15674e-10,9.09094e-12,2.44809e-08,0.446417,0.414231,0.541142,4.18879e+18,1.62874e+06,6.49268e+54
0.0263549,6.58704e-13,9.74772e-14,1.84737e-09,0.446417,0.77998,0.995178,4.18879e+18,2.06905e+08,1.28029e+53
0.013519,5.51394e-11,9.57505e-12,1.69021e-08,0.446417,0.915272,0.635545,4.18879e+18,2.20619e+06,8.0314e+54
0.00416752,8.56898e-10,1.60508e-10,6.66307e-08,0.446417,0.987278,0.000557477,4.18879e+18,133474,1.18094e+53
0.00222776,3.98985e-11,7.53629e-12,1.43777e-08,0.446417,0.99557,0.703691,4.18879e+18,2.84563e+06,6.99912e+54
0.010177,6.01356e-13,1.07856e-13,1.76512e-09,0.446417,0.945331,0.994942,4.18879e+18,1.972e+08,1.41627e+53
0.00904505,2.83759e-10,5.13936e-11,3.83429e-08,0.446417,0.95462,0.0896464,4.18879e+18,414615,6.08059e+54
0.00137877,2.73015e-10,5.16859e-11,3.76099e-08,0.446417,0.997831,0.0898601,4.18879e+18,415024,6.12975e+54
0.00711023,1.21577e-11,2.23554e-12,7.93661e-09,0.446417,0.969177,0.900651,4.18879e+18,9.55685e+06,2.65732e+54
0.0275358,4.22822e-11,6.15192e-12,1.48009e-08,0.446417,0.766875,0.735765,4.18879e+18,3.25906e+06,5.97384e+54
0.00643422,3.31915e-11,6.13239e-12,1.31136e-08,0.446417,0.973811,0.750651,4.18879e+18,3.48658e+06,6.07536e+54
0.00978214,1.49286e-11,2.68686e-12,8.79466e-09,0.446417,0.94863,0.881402,4.18879e+18,7.92132e+06,3.12552e+54
